"feature.ID","Airlock","Columbus","JLP","JPM","Node 1","Node 2","Node 3","PMM","US Lab"
"20011",1,4,1,4,10,8,16,6,10
"20844",2,1,0,3,0,1,2,2,0
"19682",5,1,2,4,6,6,7,4,6
"19290",5,2,2,3,10,10,9,6,12
"4776",2,15,4,18,16,14,36,7,9
"13557",0,2,0,1,3,3,5,2,2
"19641",3,10,5,13,12,10,21,7,17
"18446",3,6,2,9,9,4,9,0,2
"18061",3,0,0,2,6,1,4,0,3
"19086",2,3,4,5,5,2,11,2,5
"21562",5,19,3,22,27,31,42,15,25
"1685",0,3,0,3,1,1,26,0,9
"21036",1,5,3,1,2,2,11,6,11
"20967",0,2,0,2,0,2,2,1,1
"20879",0,4,0,0,3,1,4,0,1
"736",5,15,7,22,18,21,35,15,16
"118",11,17,9,31,38,29,56,20,35
"21120",1,3,2,6,6,2,6,5,7
"20063",1,4,5,9,8,6,7,5,8
"20441",0,2,0,7,5,2,2,1,2
"20767",0,5,0,5,9,6,5,8,12
"3051",1,1,0,2,2,2,5,0,2
"3600",2,1,2,2,8,5,12,2,6
"4744",2,3,0,3,3,5,7,3,3
"3371",2,3,1,11,7,3,13,3,5
"7803",20,58,27,90,100,91,132,49,85
"5220",1,0,1,6,1,1,4,4,0
"1815",5,10,7,29,24,20,34,9,19
"1569",2,9,5,13,11,12,19,11,12
"37",0,1,0,1,0,0,2,0,0
"5132",2,10,3,19,15,22,20,7,10
"4268",4,23,12,39,42,41,55,16,34
"337",14,46,21,66,80,59,113,42,70
"1013",5,6,5,4,9,9,14,5,8
"11075",2,4,2,6,7,3,8,2,5
"3979",1,7,2,8,5,10,14,2,7
"5921",1,3,3,9,4,6,9,4,3
"6954",2,7,3,4,8,5,11,2,3
"9361",6,11,13,15,27,17,37,15,23
"7806",1,8,4,11,5,14,7,9,6
"4679",0,3,1,4,4,3,11,4,4
"5397",0,2,2,5,2,1,5,2,1
"290",3,10,8,12,13,17,24,12,10
"827",6,9,10,14,11,22,17,9,8
"20976",0,3,1,1,3,1,0,0,1
"20880",0,7,2,8,5,6,11,3,6
"21482",1,5,2,12,12,10,12,5,8
"21421",0,0,2,2,0,0,2,0,1
"20746",1,5,1,4,10,4,14,5,3
"20832",1,1,0,1,1,1,2,1,0
"20398",3,2,4,9,11,12,11,4,7
"19966",1,5,0,4,10,6,11,5,7
"20209",0,3,4,5,6,11,14,6,5
"19391",3,5,2,9,10,11,21,6,10
"19722",0,1,2,7,4,5,8,1,4
"18689",0,9,3,6,9,9,15,10,8
"18946",1,5,1,6,5,3,10,0,3
"18161",2,3,1,5,6,2,10,3,4
"9476",3,13,10,17,18,22,48,13,17
"2822",0,1,0,1,1,0,2,0,0
"13794",1,3,2,5,10,3,5,1,5
"4783",1,5,4,12,17,13,17,7,8
"4449",5,9,3,13,12,10,21,8,7
"307",10,49,24,47,80,72,103,47,60
"5069",5,21,13,32,32,22,47,18,26
"21292",1,5,1,3,8,7,12,2,4
"20750",4,3,3,1,3,4,8,3,5
"20514",3,4,1,2,2,8,5,2,3
"20215",0,2,1,0,4,0,1,3,0
"20179",0,12,6,14,17,10,20,7,15
"6607",20,53,28,85,110,86,124,54,77
"21010",1,1,0,1,3,1,4,2,2
"20793",0,1,1,0,0,1,2,0,1
"20630",1,6,1,6,6,7,5,3,6
"20275",2,4,2,6,2,4,8,4,4
"20188",2,6,4,4,7,4,12,5,7
"19860",2,7,5,8,7,9,13,7,4
"19638",0,2,1,2,0,0,1,0,0
"18957",0,3,0,2,4,2,1,0,3
"18472",3,5,1,4,12,7,8,5,12
"19168",4,13,0,16,19,12,24,5,14
"18231",1,2,0,3,1,1,2,1,3
"17938",2,2,2,7,4,3,8,5,5
"17200",1,4,3,6,5,6,8,6,16
"1184",5,22,17,26,27,20,32,18,20
"1697",9,35,22,48,75,57,90,50,62
"862",2,7,4,21,13,11,22,11,15
"2590",2,9,4,9,10,6,12,8,8
"2034",12,35,12,42,57,46,85,26,46
"5724",20,55,35,85,108,87,135,57,75
"3785",3,11,6,22,20,16,26,21,12
"4018",8,18,13,33,56,23,53,19,30
"7235",12,28,16,31,44,37,60,30,41
"8913",15,28,26,46,60,58,112,40,47
"11045",1,9,8,15,20,11,24,9,15
"8144",3,10,6,17,13,13,22,11,12
"4770",3,17,9,27,36,32,30,28,30
"9990",12,42,24,56,69,71,87,34,46
"13034",12,38,17,44,71,45,80,37,50
"11253",5,23,9,26,38,27,49,23,38
"1159",11,38,24,56,68,67,81,34,45
"354",13,39,22,60,77,56,105,37,69
"21019",2,0,1,5,2,3,5,1,4
"20667",5,4,2,2,9,4,9,3,5
"20361",3,10,0,9,11,8,18,9,10
"19803",1,3,2,3,10,4,4,6,9
"20184",1,10,1,3,0,12,6,2,5
"19250",1,7,6,12,17,17,23,11,16
"18786",1,2,5,9,9,6,14,6,3
"18356",0,4,1,2,4,3,5,3,6
"2736",13,49,26,78,84,73,113,46,65
"3865",21,65,31,95,121,102,148,62,93
"3136",18,49,32,62,88,75,121,58,68
"379",12,44,24,70,73,63,99,38,65
"4009",7,20,11,24,35,33,54,22,27
"21282",2,2,0,7,2,4,6,2,3
"21514",0,4,0,5,7,5,6,7,10
"21628",0,0,1,1,0,0,4,1,2
"18836",1,3,2,1,7,6,12,3,6
"18295",0,4,4,19,15,5,13,2,8
"17269",1,4,5,7,15,8,13,5,15
"17589",3,15,7,21,29,26,36,16,19
"16577",1,1,0,0,0,2,2,0,0
"10442",0,1,0,2,1,1,0,0,0
"21204",3,9,4,6,7,8,10,11,11
"6257",3,6,1,8,10,11,19,8,7
"5406",0,0,0,1,5,5,5,4,2
"1181",11,22,24,41,47,45,58,29,49
"4440",2,8,1,7,9,7,23,10,8
"1459",2,24,15,37,39,30,53,17,35
"1735",6,29,13,42,47,45,58,27,36
"3576",7,17,7,19,32,33,38,19,23
"2412",7,21,8,37,48,36,41,24,29
"3198",7,30,17,41,37,45,54,20,40
"3828",13,38,18,63,83,60,99,43,66
"2840",9,17,13,35,44,34,57,24,27
"596",9,23,19,34,41,37,65,20,34
"2554",6,17,12,34,38,29,37,24,31
"2794",2,11,5,16,21,30,16,14,13
"536",0,8,7,11,15,13,26,8,9
"4876",1,4,5,10,10,4,11,9,9
"2558",2,5,7,12,11,12,19,10,11
"4042",6,20,9,35,36,31,33,21,31
"5610",0,7,2,3,6,9,17,2,8
"3561",4,12,5,21,30,16,38,15,22
"2919",2,9,7,15,15,12,26,11,14
"3375",3,15,5,21,24,29,40,10,18
"6464",2,9,5,10,13,8,14,4,9
"7360",0,2,1,2,5,2,2,3,3
"11269",0,1,0,0,0,1,1,2,1
"9036",0,0,0,0,0,2,1,0,0
"10408",2,7,4,3,6,14,10,5,11
"6808",4,13,5,6,17,16,15,10,24
"12058",5,4,0,9,14,11,10,4,6
"12929",6,4,3,11,16,15,10,7,8
"9911",4,17,7,21,30,18,23,11,21
"21492",4,12,4,19,28,15,25,14,22
"241",2,0,6,6,28,11,68,9,7
"44",1,0,3,2,12,7,15,7,6
"9689",2,4,3,10,4,8,12,4,15
